isolate_id	taxnode_id	species_sort	isolate_sort	species_name	isolate_type	isolate_names	_isolate_name	isolate_abbrevs	isolate_designation	genbank_accessions	refseq_accessions	genome_coverage	molecule	host_source	refseq_organism	refseq_taxids	update_change	update_prev_species	update_prev_taxnode_id	update_change_proposal	notes
1000001	202308644	2	1	Alphalipothrixvirus umijigokuense	E	Sulfolobales Beppu filamentous virus 2	Sulfolobales Beppu filamentous virus 2	SBFV2	SBFV2 clone B	MK064563	NC_048128	Coding-complete genome	dsDNA	archaea	NULL	2493123	renamed	Alphalipothrixvirus SBFV2	202208644	2023.001A.Archaeal_binomials.zip	NULL
1000002	202308643	1	1	Alphalipothrixvirus beppuense	E	Sulfolobus filamentous virus 1	Sulfolobus filamentous virus 1	SFV1	SFV1 isolate S48	MH447526	NC_048037	Complete genome	dsDNA	archaea	NULL	2304198	renamed	Alphalipothrixvirus SFV1	202208643	2023.001A.Archaeal_binomials.zip	NULL
1000003	202301532	3	1	Betalipothrixvirus acidiani	E	Acidianus filamentous virus 3	Acidianus filamentous virus 3	AFV3	NULL	AM087120	NC_010155	Complete genome	dsDNA	archaea	NULL	346881	renamed	Acidianus filamentous virus 3	202201532	2023.001A.Archaeal_binomials.zip	NULL
1000004	202301533	6	1	Betalipothrixvirus pozzuoliense	E	Acidianus filamentous virus 6	Acidianus filamentous virus 6	AFV6	NULL	AM087121	NC_010152	Complete genome	dsDNA	archaea	NULL	346882	renamed	Acidianus filamentous virus 6	202201533	2023.001A.Archaeal_binomials.zip	NULL
1000005	202301534	5	1	Betalipothrixvirus pezzuloense	E	Acidianus filamentous virus 7	Acidianus filamentous virus 7	AFV7	NULL	AM087122	NC_010153	Complete genome	dsDNA	archaea	NULL	346883	renamed	Acidianus filamentous virus 7	202201534	2023.001A.Archaeal_binomials.zip	NULL
1000006	202301535	7	1	Betalipothrixvirus puteoliense	E	Acidianus filamentous virus 8	Acidianus filamentous virus 8	AFV8	NULL	AM087123	NC_010154	Complete genome	dsDNA	archaea	NULL	346884	renamed	Acidianus filamentous virus 8	202201535	2023.001A.Archaeal_binomials.zip	NULL
1000007	202301536	8	1	Betalipothrixvirus uzonense	E	Acidianus filamentous virus 9	Acidianus filamentous virus 9	AFV9	NULL	EU545650	NC_010537	Complete genome	dsDNA	archaea	NULL	512792	renamed	Acidianus filamentous virus 9	202201536	2023.001A.Archaeal_binomials.zip	NULL
1000008	202301537	4	1	Betalipothrixvirus hveragerdiense	E	Sulfolobus islandicus filamentous virus	Sulfolobus islandicus filamentous virus	SIFV	NULL	AF440571	NC_003214	Complete genome	dsDNA	archaea	NULL	176106	renamed	Sulfolobus islandicus filamentous virus	202201537	2023.001A.Archaeal_binomials.zip	NULL
1000009	202301539	10	1	Deltalipothrixvirus pozzuoliense	E	Acidianus filamentous virus 2	Acidianus filamentous virus 2	AFV2	NULL	AJ854042	NC_009884	Complete genome	dsDNA	archaea	NULL	300186	renamed	Acidianus filamentous virus 2	202201539	2023.001A.Archaeal_binomials.zip	NULL
1000010	202308645	9	1	Deltalipothrixvirus beppuense	E	Sulfolobales Beppu filamentous virus 3	Sulfolobales Beppu filamentous virus 3	SBFV3	SBFV3 clone C	MK064564	NC_048127	Coding-complete genome	dsDNA	archaea	NULL	2493124	renamed	Deltalipothrixvirus SBFV3	202208645	2023.001A.Archaeal_binomials.zip	NULL
