taxon	sub_taxon	molecule	envelope	morphology	virion_size	genome_segments	genome_configuration	genome_size	host
Abyssoviridae		ssRNA(+)	+	unknown	unknown	1	linear	35.9	I
Ackermannviridae		dsDNA	-	icosahedral head with tail	70-90 (head),13-18x110-130 (tail)	1	linear	150-160	B
Adenoviridae		dsDNA	-	icosahedral	70-90	1	linear	24-46	V; H
Albetovirus		ssRNA(+)	-	icosahedral	17	1	linear	1.2	P
Alloherpesviridae		dsDNA	+	spherical; icosahedral	160-300	1	linear	134-295	V
Alphaflexiviridae		ssRNA(+)	-	filamentous	10-15x470-800	1	linear	5.5-8.8	F; P
Alphasatellitidae		ssDNA	-	N/A	N/A	1	linear	1.0-1.5	I; P
Alphatetraviridae		ssRNA(+)	-	icosahedral	40	1-2	linear	5.7-6.6 (monopartite); 7.8-8.0 (bipartite)	I
Alvernaviridae		ssRNA(+)	-	icosahedral	30	1	linear	4.4	Pr
Amalgaviridae		dsRNA	-	N/A	N/A	1	linear	3.2-3.5	P
Amnoonviridae		ssRNA(-)	+	unknown	unknown	10	linear	10.3	V
Ampullaviridae		dsDNA	+	bottle-shaped	230x4-75	1	linear	24-28	Ar
Anelloviridae		ssDNA(-)	-	icosahedral	30	1	circular	2.0-4.0	V; H
Arenaviridae		ssRNA(-); ssRNA(+/-)	+	spherical; pleomorphic	50-300	2	linear	10.0-10.7	V; H
Arteriviridae		ssRNA(+)	+	spherical; pleomorphic	50-74	1	linear	12.7-15.7	V
Artoviridae		ssRNA(-)	+	spherical	62.5–100	1	linear	12.2	I
Ascoviridae		dsDNA	+	bacilliform; ovoid; allantoid	130x200-400	1	circular	120-200	I
Asfarviridae		dsDNA	+	icosahedral	175-250	1	linear	170-194	V; I
Aspiviridae		ssRNA(-)	-	filamentous; coiled	3x700; 3x2000	3-4	linear	11.3-12.5	P
Astroviridae		ssRNA(+)	-	icosahedral	28-30	1	linear	6-8	V; H
Aumaivirus		ssRNA(+)	-	icosahedral	17	1	linear	1.2	P
Avsunviroidae		ssRNA	-	unencapsidated; rod-like	N/A	1	circular (noncovalently closed)	0.25-0.4	P
Bacilladnaviridae		ssDNA	-	icosahedral	33-38	1	circular	4.6-6.0	Al
Baculoviridae		dsDNA	+	rod-shaped	30-60x250-300	1	circular	80-180	I
Barnaviridae		ssRNA(+)	-	bacilliform	18-20x48-53	1	linear	4.0	F
Belpaoviridae		ssRNA-RT(+)	+	unknown	unknown	1	linear	4-10	V; I
Benyviridae		ssRNA(+)	-	rod-shaped	20x65-390	2-5	linear	11.3-15.9	P
Betaflexiviridae		ssRNA(+)	-	filamentous	10-15x600->1000	1	linear	6-10.5	P
Bicaudaviridae		dsDNA	+	spindle-shaped; two-tailed	80x120-400	1	circular	63	Ar
Bidnaviridae		ssDNA	-	icosahedral	22	2	linear	12.5	I
Birnaviridae		dsRNA	-	icosahedral	65	2	linear	5.6-6.7	V; I
Bornaviridae		ssRNA(-)	+	spherical	90-130	1	linear	8.8-12.8	V; H
Botourmiaviridae		ssRNA(+)	-	bacilliform	18x30-62	1-3	linear	2.4-4.8	F; P
Botybirnavirus		dsRNA	-	icosahedral	35	2	linear	12.1-12.7	F
Bromoviridae		ssRNA(+)	-	icosahedral; bacilliform	26–35 (icosahedral); 18–26x30–85 (bacilliform)	3	linear	8.2-8.5	P
Caliciviridae		ssRNA(+)	-	icosahedral	35-40	1	linear	6.4-9.7	V; H
Carmotetraviridae		ssRNA(+)	-	icosahedral	40	1	linear	6.2	I
Caulimoviridae		dsDNA-RT	-	icosahedral; bacilliform	50-52 (icosahedral); 30x60-900 (bacilliform)	1	circular (noncovalently closed)	7.2-9.2	P
Chrysoviridae		dsRNA	-	icosahedral	35-40	3-7	linear	8.9-16	F
Chuviridae		ssRNA(-)	unknown	unknown	unknown	1-2	linear; circular	9.1-11.9	I
Circoviridae		ssDNA(+/-)	-	icosahedral	15-25	1	circular	1.7-2.1	V; H
Clavaviridae		dsDNA	-	bacilliform	16x153	1	circular	5.3	Ar
Closteroviridae		ssRNA(+)	-	filamentous	12x650->2000	1-3	linear	13-19	P
Coguvirus		ssRNA(-); ssRNA(+/-)	-	filamentous	6x200-300	2	linear	9.4	P
Coronaviridae		ssRNA(+)	+	spherical; bacilliform	120-160 (spherical); 75-90x120-200 (bacilliform)	1	linear	25-32	V; H
Corticoviridae		dsDNA	-	icosahedral	57	1	circular	8.8-12.5	B
Cruliviridae		ssRNA(-)	unknown	unknown	unknown	3	linear	10.8	I
Cystoviridae		dsRNA	+	spherical	85	3	linear	12.9-15	B
Deltaflexiviridae		ssRNA(+)	unknown	unknown	unknown	1	linear	6.7-8.3	F
Deltavirus		ssRNA(-)	+	spherical	36-43	1	circular	1.7	V; H
Dicistroviridae		ssRNA(+)	-	icosahedral	30	1	linear	8.0-10.7	I
Dinodnavirus		dsDNA	-	icosahedral	180-210	1	linear	356	Al
Endornaviridae		ssRNA(+)	N/A	pleomorphic (RNA-containing cytoplasmic vesicles)	none	1	linear	9.7–17.6	Al; F; P
Euroniviridae		ssRNA(+)	+	unknown	unknown	1	linear	24-29	I
Filoviridae		ssRNA(-)	+	bacilliform; filamentous	80-100x660-800	1	linear	15-19	V; H
Fimoviridae		ssRNA(-)	+	spherical	80-100	4-8	linear	12.3–18.5	P
Flaviviridae		ssRNA(+)	+	spherical	40-60	1	linear	9-13	V; I; H
Fuselloviridae		dsDNA	+	lemon-shaped	55-60x80-100	1	circular	11-29	Ar
Gammaflexiviridae		ssRNA(+)	-	filamentous	13x720	1	linear	6.8	F
Geminiviridae		ssDNA(+/-)	-	icosahedral; twinned	22x38	1-2	circular	2.4-5.5	P
Genomoviridae		ssDNA	-	icosahedral	20-22	1	circular	2-3	V; I; F; P; H
Globuloviridae		dsDNA	+	spherical	70-100	1	linear	21-28	Ar
Guttaviridae		dsDNA	+	ovoid	55–80x75–130	1	circular	14-20	Ar
Hantaviridae		ssRNA(-)	+	spherical	80-120	3	linear	12	V; I; P; H
Hepadnaviridae		dsDNA-RT	+	spherical	42-50	1	circular (noncovalently closed)	3-4.4	V; H
Hepeviridae		ssRNA(+)	-	icosahedral	27-34	1	linear	6.4-7.2	V; H
Herelleviridae		dsDNA	-	icosahedral head with tail	90 (head); 19x140 (tail)	1	linear	106-167	B
Herpesviridae		dsDNA	+	spherical; icosahedral	160-300	1	linear	125-241	V; H
Hypoviridae		ssRNA(+)	N/A	pleomorphic (RNA-containing cytoplasmic vesicles)	50-80	1	linear	9-13	F
Hytrosaviridae		dsDNA	+	spherical	50–80×500–1000	1	circular	124–190	I
Idaeovirus		ssRNA(+)	-	icosahedral	33	2	linear	7.7	P
